"TOWN","variable","value"
"Windham town","X20M4549",608
"Windsor Locks town","X20M4549",400
"Windsor town","X20M4549",853
"Wolcott town","X20M4549",593
"Woodbridge town","X20M4549",288
"Woodbury town","X20M4549",293
"Woodstock town","X20M4549",309
"","X20M4549",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M4549",NA
"Andover town","X20M5054",143
"Ansonia town","X20M5054",653
"Ashford town","X20M5054",169
"Avon town","X20M5054",942
"Barkhamsted town","X20M5054",222
"Beacon Falls town","X20M5054",293
"Berlin town","X20M5054",834
"Bethany town","X20M5054",287
"Bethel town","X20M5054",728
"Bethlehem town","X20M5054",154
"Bloomfield town","X20M5054",570
"Bolton town","X20M5054",177
"Bozrah town","X20M5054",125
"Branford town","X20M5054",784
"Bridgeport town","X20M5054",4556
"Bridgewater town","X20M5054",70
"Bristol town","X20M5054",1895
"Brookfield town","X20M5054",663
"Brooklyn town","X20M5054",384
"Burlington town","X20M5054",555
"Canaan town","X20M5054",56
"Canterbury town","X20M5054",208
"Canton town","X20M5054",497
"Chaplin town","X20M5054",101
"Cheshire town","X20M5054",1326
"Chester town","X20M5054",145
"Clinton town","X20M5054",506
"Colchester town","X20M5054",709
"Colebrook town","X20M5054",74
"Columbia town","X20M5054",248
"Cornwall town","X20M5054",56
"Coventry town","X20M5054",529
"Cromwell town","X20M5054",527
"Danbury town","X20M5054",2688
"Darien town","X20M5054",972
"Deep River town","X20M5054",219
"Derby town","X20M5054",431
"Durham town","X20M5054",408
"East Granby town","X20M5054",202
"East Haddam town","X20M5054",388
"East Hampton town","X20M5054",617
"East Hartford town","X20M5054",1619
"East Haven town","X20M5054",918
"East Lyme town","X20M5054",655
"East Windsor town","X20M5054",399
"Eastford town","X20M5054",64
"Easton town","X20M5054",358
"Ellington town","X20M5054",696
"Enfield town","X20M5054",1177
"Essex town","X20M5054",246
"Fairfield town","X20M5054",2224
"Farmington town","X20M5054",922
"Franklin town","X20M5054",80
"Glastonbury town","X20M5054",1603
"Goshen town","X20M5054",147
"Granby town","X20M5054",548
"Greenwich town","X20M5054",2280
"Griswold town","X20M5054",478
"Groton town","X20M5054",711
"Guilford town","X20M5054",898
"Haddam town","X20M5054",376
"Hamden town","X20M5054",1705
"Hampton town","X20M5054",80
"Hartford town","X20M5054",3566
"Hartland town","X20M5054",102
"Harwinton town","X20M5054",261
"Hebron town","X20M5054",508
"Kent town","X20M5054",123
"Killingly town","X20M5054",648
"Killingworth town","X20M5054",320
"Lebanon town","X20M5054",349
"Ledyard town","X20M5054",525
"Lisbon town","X20M5054",212
"Litchfield town","X20M5054",341
"Lyme town","X20M5054",99
"Madison town","X20M5054",800
"Manchester town","X20M5054",1541
"Mansfield town","X20M5054",434
"Marlborough town","X20M5054",314
"Meriden town","X20M5054",2052
"Middlebury town","X20M5054",358
"Middlefield town","X20M5054",204
"Middletown town","X20M5054",1422
"Milford town","X20M5054",1930
"Monroe town","X20M5054",880
"Montville town","X20M5054",955
"Morris town","X20M5054",111
"Naugatuck town","X20M5054",1139
"New Britain town","X20M5054",1813
"New Canaan town","X20M5054",917
"New Fairfield town","X20M5054",651
"New Hartford town","X20M5054",341
"New Haven town","X20M5054",3530
"New London town","X20M5054",623
"New Milford town","X20M5054",1148
"Newington town","X20M5054",1106
"Newtown town","X20M5054",1338
"Norfolk town","X20M5054",73
"North Branford town","X20M5054",543
"North Canaan town","X20M5054",101
"North Haven town","X20M5054",961
"North Stonington town","X20M5054",225
"Norwalk town","X20M5054",2632
"Norwich town","X20M5054",1374
"Old Lyme town","X20M5054",288
"Old Saybrook town","X20M5054",374
"Orange town","X20M5054",623
"Oxford town","X20M5054",685
"Plainfield town","X20M5054",565
"Plainville town","X20M5054",616
"Plymouth town","X20M5054",534
"Pomfret town","X20M5054",192
"Portland town","X20M5054",412
"Preston town","X20M5054",196
"Prospect town","X20M5054",423
"Putnam town","X20M5054",324
"Redding town","X20M5054",444
"Ridgefield town","X20M5054",1218
"Rocky Hill town","X20M5054",677
"Roxbury town","X20M5054",91
"Salem town","X20M5054",173
"Salisbury town","X20M5054",121
"Scotland town","X20M5054",76
"Seymour town","X20M5054",693
"Sharon town","X20M5054",106
"Shelton town","X20M5054",1564
"Sherman town","X20M5054",150
"Simsbury town","X20M5054",1017
"Somers town","X20M5054",256
"South Windsor town","X20M5054",1007
"Southbury town","X20M5054",801
"Southington town","X20M5054",1732
"Sprague town","X20M5054",85
"Stafford town","X20M5054",498
"Stamford town","X20M5054",3660
"Sterling town","X20M5054",181
"Stonington town","X20M5054",743
"Stratford town","X20M5054",1753
"Suffield town","X20M5054",719
"Thomaston town","X20M5054",368
"Thompson town","X20M5054",390
"Tolland town","X20M5054",757
"Torrington town","X20M5054",1323
"Trumbull town","X20M5054",1500
"Union town","X20M5054",37
"Vernon town","X20M5054",832
"Voluntown town","X20M5054",131
"Wallingford town","X20M5054",1629
"Warren town","X20M5054",80
"Washington town","X20M5054",130
"Waterbury town","X20M5054",3262
"Waterford town","X20M5054",816
"Watertown town","X20M5054",830
"West Hartford town","X20M5054",2169
"West Haven town","X20M5054",1774
"Westbrook town","X20M5054",264
"Weston town","X20M5054",553
"Westport town","X20M5054",1243
"Wethersfield town","X20M5054",934
"Willington town","X20M5054",203
"Wilton town","X20M5054",914
"Winchester town","X20M5054",426
"Windham town","X20M5054",655
"Windsor Locks town","X20M5054",465
"Windsor town","X20M5054",966
"Wolcott town","X20M5054",716
"Woodbridge town","X20M5054",340
"Woodbury town","X20M5054",414
"Woodstock town","X20M5054",387
"","X20M5054",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M5054",NA
"Andover town","X20M5559",158
"Ansonia town","X20M5559",713
"Ashford town","X20M5559",226
"Avon town","X20M5559",884
"Barkhamsted town","X20M5559",204
"Beacon Falls town","X20M5559",280
"Berlin town","X20M5559",911
"Bethany town","X20M5559",319
"Bethel town","X20M5559",777
"Bethlehem town","X20M5559",181
"Bloomfield town","X20M5559",708
"Bolton town","X20M5559",223
"Bozrah town","X20M5559",129
"Branford town","X20M5559",1043
"Bridgeport town","X20M5559",4620
"Bridgewater town","X20M5559",91
"Bristol town","X20M5559",2061
"Brookfield town","X20M5559",797
"Brooklyn town","X20M5559",396
"Burlington town","X20M5559",515
"Canaan town","X20M5559",57
"Canterbury town","X20M5559",241
"Canton town","X20M5559",468
"Chaplin town","X20M5559",114
"Cheshire town","X20M5559",1235
"Chester town","X20M5559",198
"Clinton town","X20M5559",565
"Colchester town","X20M5559",784
"Colebrook town","X20M5559",78
"Columbia town","X20M5559",277
"Cornwall town","X20M5559",67
"Coventry town","X20M5559",642
"Cromwell town","X20M5559",529
"Danbury town","X20M5559",2580
"Darien town","X20M5559",868
"Deep River town","X20M5559",201
"Derby town","X20M5559",457
"Durham town","X20M5559",363
"East Granby town","X20M5559",239
"East Haddam town","X20M5559",478
"East Hampton town","X20M5559",680
"East Hartford town","X20M5559",1736
"East Haven town","X20M5559",1047
"East Lyme town","X20M5559",742
"East Windsor town","X20M5559",462
"Eastford town","X20M5559",93
"Easton town","X20M5559",411
"Ellington town","X20M5559",798
"Enfield town","X20M5559",1536
"Essex town","X20M5559",282
"Fairfield town","X20M5559",2254
"Farmington town","X20M5559",1058
"Franklin town","X20M5559",95
"Glastonbury town","X20M5559",1661
"Goshen town","X20M5559",140
"Granby town","X20M5559",608
"Greenwich town","X20M5559",2330
"Griswold town","X20M5559",552
"Groton town","X20M5559",988
"Guilford town","X20M5559",981
"Haddam town","X20M5559",414
"Hamden town","X20M5559",1852
"Hampton town","X20M5559",92
"Hartford town","X20M5559",3631
"Hartland town","X20M5559",98
"Harwinton town","X20M5559",289
"Hebron town","X20M5559",474
"Kent town","X20M5559",151
"Killingly town","X20M5559",678
"Killingworth town","X20M5559",348
"Lebanon town","X20M5559",374
"Ledyard town","X20M5559",559
"Lisbon town","X20M5559",231
"Litchfield town","X20M5559",389
"Lyme town","X20M5559",139
"Madison town","X20M5559",911
"Manchester town","X20M5559",1842
"Mansfield town","X20M5559",454
"Marlborough town","X20M5559",313
"Meriden town","X20M5559",2264
"Middlebury town","X20M5559",344
"Middlefield town","X20M5559",221
"Middletown town","X20M5559",1621
"Milford town","X20M5559",2110
"Monroe town","X20M5559",930
"Montville town","X20M5559",1038
"Morris town","X20M5559",95
"Naugatuck town","X20M5559",1168
"New Britain town","X20M5559",2058
"New Canaan town","X20M5559",926
"New Fairfield town","X20M5559",650
"New Hartford town","X20M5559",347
"New Haven town","X20M5559",3458
"New London town","X20M5559",580
"New Milford town","X20M5559",1233
"Newington town","X20M5559",1184
"Newtown town","X20M5559",1503
"Norfolk town","X20M5559",98
"North Branford town","X20M5559",622
"North Canaan town","X20M5559",142
"North Haven town","X20M5559",1030
"North Stonington town","X20M5559",298
"Norwalk town","X20M5559",2866
"Norwich town","X20M5559",1574
"Old Lyme town","X20M5559",322
"Old Saybrook town","X20M5559",422
"Orange town","X20M5559",683
"Oxford town","X20M5559",634
"Plainfield town","X20M5559",606
"Plainville town","X20M5559",649
"Plymouth town","X20M5559",514
"Pomfret town","X20M5559",200
"Portland town","X20M5559",418
"Preston town","X20M5559",229
"Prospect town","X20M5559",438
"Putnam town","X20M5559",342
"Redding town","X20M5559",503
"Ridgefield town","X20M5559",1263
"Rocky Hill town","X20M5559",798
"Roxbury town","X20M5559",128
"Salem town","X20M5559",193
"Salisbury town","X20M5559",147
"Scotland town","X20M5559",90
"Seymour town","X20M5559",702
"Sharon town","X20M5559",137
"Shelton town","X20M5559",1709
"Sherman town","X20M5559",195
"Simsbury town","X20M5559",1050
"Somers town","X20M5559",378
"South Windsor town","X20M5559",1097
"Southbury town","X20M5559",886
"Southington town","X20M5559",1749
"Sprague town","X20M5559",115
"Stafford town","X20M5559",530
"Stamford town","X20M5559",3696
"Sterling town","X20M5559",208
"Stonington town","X20M5559",801
"Stratford town","X20M5559",1906
"Suffield town","X20M5559",610
"Thomaston town","X20M5559",364
"Thompson town","X20M5559",462
"Tolland town","X20M5559",763
"Torrington town","X20M5559",1425
"Trumbull town","X20M5559",1566
"Union town","X20M5559",47
"Vernon town","X20M5559",1034
"Voluntown town","X20M5559",144
"Wallingford town","X20M5559",1828
"Warren town","X20M5559",75
"Washington town","X20M5559",152
"Waterbury town","X20M5559",3356
"Waterford town","X20M5559",928
"Watertown town","X20M5559",929
"West Hartford town","X20M5559",2217
"West Haven town","X20M5559",1836
"Westbrook town","X20M5559",275
"Weston town","X20M5559",539
"Westport town","X20M5559",1331
"Wethersfield town","X20M5559",1057
"Willington town","X20M5559",277
"Wilton town","X20M5559",839
"Winchester town","X20M5559",557
"Windham town","X20M5559",705
"Windsor Locks town","X20M5559",558
"Windsor town","X20M5559",1089
"Wolcott town","X20M5559",832
"Woodbridge town","X20M5559",445
"Woodbury town","X20M5559",491
"Woodstock town","X20M5559",431
"","X20M5559",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M5559",NA
"Andover town","X20M6064",177
"Ansonia town","X20M6064",683
"Ashford town","X20M6064",207
"Avon town","X20M6064",826
"Barkhamsted town","X20M6064",182
"Beacon Falls town","X20M6064",277
"Berlin town","X20M6064",864
"Bethany town","X20M6064",280
"Bethel town","X20M6064",769
"Bethlehem town","X20M6064",199
"Bloomfield town","X20M6064",744
"Bolton town","X20M6064",257
"Bozrah town","X20M6064",135
"Branford town","X20M6064",1212
"Bridgeport town","X20M6064",4048
"Bridgewater town","X20M6064",79
"Bristol town","X20M6064",2195
"Brookfield town","X20M6064",706
"Brooklyn town","X20M6064",324
"Burlington town","X20M6064",398
"Canaan town","X20M6064",44
"Canterbury town","X20M6064",230
"Canton town","X20M6064",473
"Chaplin town","X20M6064",101
"Cheshire town","X20M6064",1076
"Chester town","X20M6064",203
"Clinton town","X20M6064",507
"Colchester town","X20M6064",749
"Colebrook town","X20M6064",79
"Columbia town","X20M6064",257
"Cornwall town","X20M6064",80
"Coventry town","X20M6064",551
"Cromwell town","X20M6064",552
"Danbury town","X20M6064",2388
"Darien town","X20M6064",685
"Deep River town","X20M6064",182
"Derby town","X20M6064",503
"Durham town","X20M6064",346
"East Granby town","X20M6064",234
"East Haddam town","X20M6064",427
"East Hampton town","X20M6064",618
"East Hartford town","X20M6064",1732
"East Haven town","X20M6064",1008
"East Lyme town","X20M6064",685
"East Windsor town","X20M6064",552
"Eastford town","X20M6064",83
"Easton town","X20M6064",365
"Ellington town","X20M6064",717
"Enfield town","X20M6064",1489
"Essex town","X20M6064",327
"Fairfield town","X20M6064",1916
"Farmington town","X20M6064",1036
"Franklin town","X20M6064",86
"Glastonbury town","X20M6064",1345
"Goshen town","X20M6064",147
"Granby town","X20M6064",523
"Greenwich town","X20M6064",2146
"Griswold town","X20M6064",514
"Groton town","X20M6064",1165
"Guilford town","X20M6064",930
"Haddam town","X20M6064",394
"Hamden town","X20M6064",1840
"Hampton town","X20M6064",96
"Hartford town","X20M6064",3166
"Hartland town","X20M6064",100
"Harwinton town","X20M6064",278
"Hebron town","X20M6064",428
"Kent town","X20M6064",146
"Killingly town","X20M6064",651
"Killingworth town","X20M6064",321
"Lebanon town","X20M6064",339
"Ledyard town","X20M6064",538
"Lisbon town","X20M6064",200
"Litchfield town","X20M6064",380
"Lyme town","X20M6064",123
"Madison town","X20M6064",824
"Manchester town","X20M6064",1829
"Mansfield town","X20M6064",444
"Marlborough town","X20M6064",235
"Meriden town","X20M6064",2110
"Middlebury town","X20M6064",266
"Middlefield town","X20M6064",224
"Middletown town","X20M6064",1604
"Milford town","X20M6064",2107
"Monroe town","X20M6064",728
"Montville town","X20M6064",883
"Morris town","X20M6064",120
"Naugatuck town","X20M6064",1151
"New Britain town","X20M6064",2025
"New Canaan town","X20M6064",844
"New Fairfield town","X20M6064",596
"New Hartford town","X20M6064",360
"New Haven town","X20M6064",2957
"New London town","X20M6064",641
"New Milford town","X20M6064",1175
"Newington town","X20M6064",1058
"Newtown town","X20M6064",1176
"Norfolk town","X20M6064",82
"North Branford town","X20M6064",540
"North Canaan town","X20M6064",116
"North Haven town","X20M6064",969
"North Stonington town","X20M6064",276
"Norwalk town","X20M6064",2642
"Norwich town","X20M6064",1531
"Old Lyme town","X20M6064",343
"Old Saybrook town","X20M6064",413
"Orange town","X20M6064",617
"Oxford town","X20M6064",561
"Plainfield town","X20M6064",561
"Plainville town","X20M6064",654
"Plymouth town","X20M6064",551
"Pomfret town","X20M6064",196
"Portland town","X20M6064",392
"Preston town","X20M6064",235
"Prospect town","X20M6064",410
"Putnam town","X20M6064",353
"Redding town","X20M6064",410
"Ridgefield town","X20M6064",1020
"Rocky Hill town","X20M6064",792
"Roxbury town","X20M6064",127
"Salem town","X20M6064",207
"Salisbury town","X20M6064",140
"Scotland town","X20M6064",72
"Seymour town","X20M6064",702
"Sharon town","X20M6064",137
"Shelton town","X20M6064",1674
"Sherman town","X20M6064",188
"Simsbury town","X20M6064",948
"Somers town","X20M6064",338
"South Windsor town","X20M6064",1022
"Southbury town","X20M6064",884
"Southington town","X20M6064",1579
"Sprague town","X20M6064",131
"Stafford town","X20M6064",522
"Stamford town","X20M6064",3533
"Sterling town","X20M6064",186
"Stonington town","X20M6064",812
"Stratford town","X20M6064",1791
"Suffield town","X20M6064",532
"Thomaston town","X20M6064",370
"Thompson town","X20M6064",435
"Tolland town","X20M6064",694
"Torrington town","X20M6064",1542
"Trumbull town","X20M6064",1456
"Union town","X20M6064",33
"Vernon town","X20M6064",1074
"Voluntown town","X20M6064",127
"Wallingford town","X20M6064",1763
"Warren town","X20M6064",62
"Washington town","X20M6064",189
"Waterbury town","X20M6064",3316
"Waterford town","X20M6064",816
"Watertown town","X20M6064",916
"West Hartford town","X20M6064",2057
"West Haven town","X20M6064",1772
"Westbrook town","X20M6064",325
"Weston town","X20M6064",455
"Westport town","X20M6064",1101
"Wethersfield town","X20M6064",981
"Willington town","X20M6064",257
"Wilton town","X20M6064",675
"Winchester town","X20M6064",473
"Windham town","X20M6064",697
"Windsor Locks town","X20M6064",511
"Windsor town","X20M6064",1083
"Wolcott town","X20M6064",714
"Woodbridge town","X20M6064",415
"Woodbury town","X20M6064",511
"Woodstock town","X20M6064",377
"","X20M6064",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M6064",NA
"Andover town","X20M6569",122
"Ansonia town","X20M6569",513
"Ashford town","X20M6569",171
"Avon town","X20M6569",574
"Barkhamsted town","X20M6569",171
"Beacon Falls town","X20M6569",196
"Berlin town","X20M6569",793
"Bethany town","X20M6569",210
"Bethel town","X20M6569",603
"Bethlehem town","X20M6569",174
"Bloomfield town","X20M6569",718
"Bolton town","X20M6569",180
"Bozrah town","X20M6569",83
"Branford town","X20M6569",1050
"Bridgeport town","X20M6569",2815
"Bridgewater town","X20M6569",64
"Bristol town","X20M6569",1650
"Brookfield town","X20M6569",540
"Brooklyn town","X20M6569",246
"Burlington town","X20M6569",325
"Canaan town","X20M6569",58
"Canterbury town","X20M6569",212
"Canton town","X20M6569",385
"Chaplin town","X20M6569",87
"Cheshire town","X20M6569",846
"Chester town","X20M6569",191
"Clinton town","X20M6569",466
"Colchester town","X20M6569",464
"Colebrook town","X20M6569",71
"Columbia town","X20M6569",227
"Cornwall town","X20M6569",71
"Coventry town","X20M6569",424
"Cromwell town","X20M6569",438
"Danbury town","X20M6569",1856
"Darien town","X20M6569",441
"Deep River town","X20M6569",178
"Derby town","X20M6569",367
"Durham town","X20M6569",259
"East Granby town","X20M6569",171
"East Haddam town","X20M6569",364
"East Hampton town","X20M6569",481
"East Hartford town","X20M6569",1304
"East Haven town","X20M6569",879
"East Lyme town","X20M6569",587
"East Windsor town","X20M6569",413
"Eastford town","X20M6569",78
"Easton town","X20M6569",251
"Ellington town","X20M6569",545
"Enfield town","X20M6569",1101
"Essex town","X20M6569",296
"Fairfield town","X20M6569",1385
"Farmington town","X20M6569",813
"Franklin town","X20M6569",78
"Glastonbury town","X20M6569",964
"Goshen town","X20M6569",151
"Granby town","X20M6569",417
"Greenwich town","X20M6569",1692
"Griswold town","X20M6569",388
"Groton town","X20M6569",1008
"Guilford town","X20M6569",837
"Haddam town","X20M6569",330
"Hamden town","X20M6569",1539
"Hampton town","X20M6569",82
"Hartford town","X20M6569",2327
"Hartland town","X20M6569",91
"Harwinton town","X20M6569",231
"Hebron town","X20M6569",308
"Kent town","X20M6569",154
"Killingly town","X20M6569",540
"Killingworth town","X20M6569",255
"Lebanon town","X20M6569",288
"Ledyard town","X20M6569",466
"Lisbon town","X20M6569",152
"Litchfield town","X20M6569",346
"Lyme town","X20M6569",148
"Madison town","X20M6569",603
"Manchester town","X20M6569",1587
"Mansfield town","X20M6569",404
"Marlborough town","X20M6569",224
"Meriden town","X20M6569",1629
"Middlebury town","X20M6569",256
"Middlefield town","X20M6569",171
"Middletown town","X20M6569",1278
"Milford town","X20M6569",1683
"Monroe town","X20M6569",590
"Montville town","X20M6569",682
"Morris town","X20M6569",118
"Naugatuck town","X20M6569",850
"New Britain town","X20M6569",1636
"New Canaan town","X20M6569",561
"New Fairfield town","X20M6569",419
"New Hartford town","X20M6569",311
"New Haven town","X20M6569",2234
"New London town","X20M6569",599
"New Milford town","X20M6569",820
"Newington town","X20M6569",882
"Newtown town","X20M6569",862
"Norfolk town","X20M6569",76
"North Branford town","X20M6569",510
"North Canaan town","X20M6569",103
"North Haven town","X20M6569",786
"North Stonington town","X20M6569",261
"Norwalk town","X20M6569",2103
"Norwich town","X20M6569",1252
"Old Lyme town","X20M6569",341
"Old Saybrook town","X20M6569",381
"Orange town","X20M6569",460
"Oxford town","X20M6569",515
"Plainfield town","X20M6569",433
"Plainville town","X20M6569",544
"Plymouth town","X20M6569",452
"Pomfret town","X20M6569",153
"Portland town","X20M6569",356
"Preston town","X20M6569",191
"Prospect town","X20M6569",343
"Putnam town","X20M6569",270
"Redding town","X20M6569",300
"Ridgefield town","X20M6569",694
"Rocky Hill town","X20M6569",695
"Roxbury town","X20M6569",101
"Salem town","X20M6569",150
"Salisbury town","X20M6569",152
"Scotland town","X20M6569",75
"Seymour town","X20M6569",518
"Sharon town","X20M6569",126
"Shelton town","X20M6569",1283
"Sherman town","X20M6569",153
"Simsbury town","X20M6569",662
"Somers town","X20M6569",292
"South Windsor town","X20M6569",779
"Southbury town","X20M6569",732
"Southington town","X20M6569",1327
"Sprague town","X20M6569",95
"Stafford town","X20M6569",396
"Stamford town","X20M6569",2823
"Sterling town","X20M6569",133
"Stonington town","X20M6569",727
"Stratford town","X20M6569",1439
"Suffield town","X20M6569",423
"Thomaston town","X20M6569",250
"Thompson town","X20M6569",311
"Tolland town","X20M6569",474
"Torrington town","X20M6569",1222
"Trumbull town","X20M6569",1063
"Union town","X20M6569",32
"Vernon town","X20M6569",823
"Voluntown town","X20M6569",124
"Wallingford town","X20M6569",1502
"Warren town","X20M6569",72
"Washington town","X20M6569",183
"Waterbury town","X20M6569",2614
"Waterford town","X20M6569",674
"Watertown town","X20M6569",788
"West Hartford town","X20M6569",1685
"West Haven town","X20M6569",1336
"Westbrook town","X20M6569",273
"Weston town","X20M6569",337
"Westport town","X20M6569",791
"Wethersfield town","X20M6569",778
"Willington town","X20M6569",203
"Wilton town","X20M6569",485
"Winchester town","X20M6569",422
"Windham town","X20M6569",489
"Windsor Locks town","X20M6569",396
"Windsor town","X20M6569",958
"Wolcott town","X20M6569",508
"Woodbridge town","X20M6569",354
"Woodbury town","X20M6569",379
"Woodstock town","X20M6569",311
"","X20M6569",NA
"Note: For the age group, The first two didigts in the fields name are years. The third letter means gender, m for male, f for female. The last four digits are age groups. 15M2024 means 2015 projection male population for 20 to 24 years. For the total population, the first two digits also mean year, the third is gender, if necesary. the last five letters are total. 15MTOTAL means 2015 projection for total male population.","X20M6569",NA
"Andover town","X20M7074",77
"Ansonia town","X20M7074",386
"Ashford town","X20M7074",102
"Avon town","X20M7074",498
"Barkhamsted town","X20M7074",120
"Beacon Falls town","X20M7074",183
"Berlin town","X20M7074",601
"Bethany town","X20M7074",145
"Bethel town","X20M7074",384
"Bethlehem town","X20M7074",131
"Bloomfield town","X20M7074",587
"Bolton town","X20M7074",127
"Bozrah town","X20M7074",75
"Branford town","X20M7074",856
"Bridgeport town","X20M7074",1967
"Bridgewater town","X20M7074",61
"Bristol town","X20M7074",1274
"Brookfield town","X20M7074",331
"Brooklyn town","X20M7074",172
"Burlington town","X20M7074",220
"Canaan town","X20M7074",45
"Canterbury town","X20M7074",174
"Canton town","X20M7074",302
"Chaplin town","X20M7074",60
"Cheshire town","X20M7074",643
"Chester town","X20M7074",152
"Clinton town","X20M7074",368
"Colchester town","X20M7074",370
"Colebrook town","X20M7074",52
"Columbia town","X20M7074",179
"Cornwall town","X20M7074",67
"Coventry town","X20M7074",330
"Cromwell town","X20M7074",389
"Danbury town","X20M7074",1312
"Darien town","X20M7074",273
"Deep River town","X20M7074",147
"Derby town","X20M7074",300
"Durham town","X20M7074",182
"East Granby town","X20M7074",130
"East Haddam town","X20M7074",309
"East Hampton town","X20M7074",407
"East Hartford town","X20M7074",901
"East Haven town","X20M7074",720
"East Lyme town","X20M7074",484
"East Windsor town","X20M7074",302
"Eastford town","X20M7074",73
"Easton town","X20M7074",183
"Ellington town","X20M7074",420
"Enfield town","X20M7074",768
"Essex town","X20M7074",233
"Fairfield town","X20M7074",1035
"Farmington town","X20M7074",615
"Franklin town","X20M7074",57
"Glastonbury town","X20M7074",810
"Goshen town","X20M7074",139
"Granby town","X20M7074",291
"Greenwich town","X20M7074",1184
"Griswold town","X20M7074",273
"Groton town","X20M7074",812
"Guilford town","X20M7074",736
"Haddam town","X20M7074",276
"Hamden town","X20M7074",1220
"Hampton town","X20M7074",74
"Hartford town","X20M7074",1823
"Hartland town","X20M7074",61
"Harwinton town","X20M7074",187
"Hebron town","X20M7074",260
"Kent town","X20M7074",117
"Killingly town","X20M7074",402
"Killingworth town","X20M7074",265
"Lebanon town","X20M7074",202
"Ledyard town","X20M7074",346
"Lisbon town","X20M7074",123
"Litchfield town","X20M7074",289
"Lyme town","X20M7074",125
"Madison town","X20M7074",564
"Manchester town","X20M7074",1210
"Mansfield town","X20M7074",313
"Marlborough town","X20M7074",188
"Meriden town","X20M7074",1288
"Middlebury town","X20M7074",212
"Middlefield town","X20M7074",123
"Middletown town","X20M7074",971
"Milford town","X20M7074",1352
"Monroe town","X20M7074",395
"Montville town","X20M7074",550
"Morris town","X20M7074",81
"Naugatuck town","X20M7074",653
"New Britain town","X20M7074",1077
"New Canaan town","X20M7074",396
"New Fairfield town","X20M7074",286
"New Hartford town","X20M7074",234
"New Haven town","X20M7074",1833
"New London town","X20M7074",424
"New Milford town","X20M7074",640
"Newington town","X20M7074",788
"Newtown town","X20M7074",610
"Norfolk town","X20M7074",55
"North Branford town","X20M7074",424
"North Canaan town","X20M7074",86
"North Haven town","X20M7074",665
"North Stonington town","X20M7074",159
"Norwalk town","X20M7074",1570
"Norwich town","X20M7074",960
"Old Lyme town","X20M7074",273
"Old Saybrook town","X20M7074",364
"Orange town","X20M7074",363
"Oxford town","X20M7074",449
"Plainfield town","X20M7074",305
"Plainville town","X20M7074",434
"Plymouth town","X20M7074",307
"Pomfret town","X20M7074",95
"Portland town","X20M7074",259
"Preston town","X20M7074",151
"Prospect town","X20M7074",240
"Putnam town","X20M7074",221
"Redding town","X20M7074",260
"Ridgefield town","X20M7074",510
"Rocky Hill town","X20M7074",606
"Roxbury town","X20M7074",116
"Salem town","X20M7074",109
"Salisbury town","X20M7074",152
"Scotland town","X20M7074",73
"Seymour town","X20M7074",393
"Sharon town","X20M7074",109
"Shelton town","X20M7074",1093
"Sherman town","X20M7074",101
"Simsbury town","X20M7074",509
"Somers town","X20M7074",219
"South Windsor town","X20M7074",523
"Southbury town","X20M7074",641
"Southington town","X20M7074",1175
"Sprague town","X20M7074",49
"Stafford town","X20M7074",280
"Stamford town","X20M7074",2264
"Sterling town","X20M7074",87
"Stonington town","X20M7074",585
"Stratford town","X20M7074",1218
"Suffield town","X20M7074",311
"Thomaston town","X20M7074",187
"Thompson town","X20M7074",230
"Tolland town","X20M7074",351
"Torrington town","X20M7074",905
"Trumbull town","X20M7074",766
"Union town","X20M7074",46
"Vernon town","X20M7074",652
"Voluntown town","X20M7074",72
"Wallingford town","X20M7074",1131
"Warren town","X20M7074",65
"Washington town","X20M7074",145
"Waterbury town","X20M7074",2028
"Waterford town","X20M7074",552
"Watertown town","X20M7074",633
"West Hartford town","X20M7074",1460
"West Haven town","X20M7074",1089
"Westbrook town","X20M7074",242
"Weston town","X20M7074",216
"Westport town","X20M7074",578
"Wethersfield town","X20M7074",668
"Willington town","X20M7074",143
"Wilton town","X20M7074",327
"Winchester town","X20M7074",326
"Windham town","X20M7074",422
"Windsor Locks town","X20M7074",279
"Windsor town","X20M7074",773
"Wolcott town","X20M7074",342
"Woodbridge town","X20M7074",267
"Woodbury town","X20M7074",340
"Woodstock town","X20M7074",229
"","X20M7074",NA
