District ID,District Name,School Year,Number of ELL Students,Total Enrollment,Percentage ELL
265,Interdistrict School for Arts and Comm District,2006-07,14,181,7.7
69,Killingly School District,2006-07,46,2696,1.7
245,Learn,2006-07,110,1007,10.9
71,Lebanon School District,2006-07,2,1540,0.1
72,Ledyard School District,2006-07,25,2916,0.9
76,Madison School District,2006-07,10,3837,0.3
77,Manchester School District,2006-07,220,6966,3.2
78,Mansfield School District,2006-07,43,1333,3.2
79,Marlborough School District,2006-07,1,651,0.2
80,Meriden School District,2006-07,764,8864,8.6
83,Middletown School District,2006-07,128,5075,2.5
84,Milford School District,2006-07,189,7504,2.5
85,Monroe School District,2006-07,15,4364,0.3
86,Montville School District,2006-07,88,2924,3
88,Naugatuck School District,2006-07,254,4972,5.1
89,New Britain School District,2006-07,1814,10865,16.7
90,New Canaan School District,2006-07,25,4139,0.6
91,New Fairfield School District,2006-07,6,3065,0.2
93,New Haven School District,2006-07,2227,19464,11.4
95,New London School District,2006-07,677,2947,23
96,New Milford School District,2006-07,126,5039,2.5
94,Newington School District,2006-07,156,4591,3.4
97,Newtown School District,2006-07,3,5609,0.1
99,North Branford School District,2006-07,24,2449,1
100,North Canaan School District,2006-07,12,369,3.3
101,North Haven School District,2006-07,60,3962,1.5
102,North Stonington School District,2006-07,2,809,0.2
103,Norwalk School District,2006-07,1343,10743,12.5
901,Norwich Free Academy,2006-07,72,2489,2.9
104,Norwich School District,2006-07,323,3904,8.3
106,Old Saybrook School District,2006-07,49,1582,3.1
107,Orange School District,2006-07,7,1396,0.5
108,Oxford School District,2006-07,23,1575,1.5
109,Plainfield School District,2006-07,32,2803,1.1
110,Plainville School District,2006-07,120,2597,4.6
111,Plymouth School District,2006-07,18,1917,0.9
112,Pomfret School District,2006-07,3,540,0.6
113,Portland School District,2006-07,1,1451,0.1
114,Preston School District,2006-07,10,498,2
116,Putnam School District,2006-07,35,1339,2.6
117,Redding School District,2006-07,1,1287,0.1
204,Regional School District 04,2006-07,7,946,0.7
205,Regional School District 05,2006-07,16,2509,0.6
206,Regional School District 06,2006-07,5,1077,0.5
207,Regional School District 07,2006-07,2,1105,0.2
208,Regional School District 08,2006-07,1,1645,0.1
209,Regional School District 09,2006-07,5,962,0.5
210,Regional School District 10,2006-07,18,2824,0.6
212,Regional School District 12,2006-07,9,1062,0.8
213,Regional School District 13,2006-07,6,2167,0.3
215,Regional School District 15,2006-07,26,4572,0.6
216,Regional School District 16,2006-07,11,2682,0.4
218,Regional School District 18,2006-07,2,1521,0.1
219,Regional School District 19,2006-07,6,1201,0.5
118,Ridgefield School District,2006-07,32,5575,0.6
119,Rocky Hill School District,2006-07,84,2576,3.3
121,Salem School District,2006-07,1,530,0.2
124,Seymour School District,2006-07,29,2737,1.1
125,Sharon School District,2006-07,2,231,0.9
126,Shelton School District,2006-07,115,5691,2
127,Sherman School District,2006-07,1,479,0.2
270,Side By Side Community School District,2006-07,15,235,6.4
128,Simsbury School District,2006-07,63,4992,1.3
129,Somers School District,2006-07,7,1734,0.4
132,South Windsor School District,2006-07,83,5027,1.7
131,Southington School District,2006-07,107,6934,1.5
133,Sprague School District,2006-07,8,337,2.4
134,Stafford School District,2006-07,12,1951,0.6
135,Stamford School District,2006-07,2301,14975,15.4
137,Stonington School District,2006-07,16,2555,0.6
138,Stratford School District,2006-07,287,7366,3.9
139,Suffield School District,2006-07,2,2596,0.1
902,The Gilbert School,2006-07,12,466,2.6
