Type,Agency,State,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,
Property,Providence Police Dept,RI,8744.6,9464.3,10899.6,10115.4,10236.9,10337.3,9003.6,8769,8662.6,7787.3,8528.4,8059.1,6901,6700.9,7274,6721.7,7265.6,7090.7,6263,5872.5,5143.4,4893.1,4770.3,5305.8,4676,4637.1,,4484.4, 
Property,Chattanooga Police Dept,TN,7200.9,6867.1,7622.8,7622.6,7988.2,10502,10470.5,7978.2,8576.8,7648.1,7964.9,8013.5,8161,8669.1,8978.8,9812.7,10501.4,8521.4,8532.8,9205.7,8093,7861.9,8086.1,7540.9,7484.8,6546.6,6285.9,6086.6, 
Violent,Bridgeport Police Dept,CT,1533.9,1382.7,1267,1472.3,1915.3,2038.3,2015.3,2042.7,1855.8,1367.1,1191.2,1584,1814,1437.7,1321.4,1421.9,1361.1,1195.5,968.6,1010.1,1075.8,1087.2,1164.5,1201.5,1122.4,979,1001.4,1205.2, 
Violent,Hartford Police Dept,CT,1996.7,2163.7,2131.1,2107.2,2872,2939.1,2556.1,2227.6,2154.4,2398.5,2092.7,1716.3,1307.7,1244.3,1126.3,1225.6,1302.8,1252.2,1444.4,1210.1,1152.8,1231.9,1132.8,1206.2,1292.2,1301.5,1311.1,1321.9, 
Violent,New Haven Police Dept,CT,1735.6,1811.1,1762.5,2351.3,2554.2,3058.8,2698.5,2482.5,2053.4,2137.9,1863.7,2187.9,1962.8,1683.7,1552.4,1387.2,1540.2,1373.2,,,,1738.4,1844.7,1789.4,1775,1536.5,1344.4,1439.2, 
Violent,Stamford Police Dept,CT,486.6,791.9,525.6,516.6,573.4,454.4,524.1,457.1,499.4,591.9,476.7,411.5,427,394.5,336.2,245.1,230.1,235.4,224.6,252.5,297.2,329.6,286.2,328.8,293.7,286.2,316.6,282.6, 
Violent,Waterbury Police Dept,CT,395.1,431.8,460.1,542.6,544.3,602.1,774.6,752.1,548.5,530.1,508.1,634.8,532.1,726.7,554,509,506.1,534.9,442.9,417.4,399.5,378.7,363.7,358.4,350.4,331.6,324.7,296.9, 
Violent,Peoria Police Dept,IL,,,,,,,,,,,,,,,,,,,,,,,,,,764.3,705.7,797.1, 
Violent,Rockford Police Dept,IL,,,,,,,,,,,,,,,,,,,,,,1209.9,1362.1,1406.6,1313.1,1493.4,1373.5,1367.8, 
Violent,Evansville Police Dept,IN,524.8,535.7,488,505.4,571.9,734.1,616.7,531.2,599.4,605.3,554.4,593.4,568.3,425.9,381.6,512.4,578.2,537.5,1162.9,387.6,405.8,462.8,454,399.5,373.2,419.8,416,473.8, 
