District ID,District Name,School Year,Languages,Number of Students with Non-English Home Language,Number of ELL Students
64,Hartford School District,2006-07,All,9758,3859
65,Hartland School District,2006-07,All,**,**
264,Integrated Day Charter School District,2006-07,All,22,4
265,Interdistrict School for Arts and Comm District,2006-07,All,42,14
69,Killingly School District,2006-07,All,60,46
245,Learn,2006-07,All,121,110
71,Lebanon School District,2006-07,All,11,2
72,Ledyard School District,2006-07,All,57,25
76,Madison School District,2006-07,All,62,10
77,Manchester School District,2006-07,All,222,220
78,Mansfield School District,2006-07,All,143,43
79,Marlborough School District,2006-07,All,15,1
80,Meriden School District,2006-07,All,2438,764
83,Middletown School District,2006-07,All,223,128
84,Milford School District,2006-07,All,464,189
85,Monroe School District,2006-07,All,127,15
86,Montville School District,2006-07,All,160,88
88,Naugatuck School District,2006-07,All,655,254
89,New Britain School District,2006-07,All,4649,1814
90,New Canaan School District,2006-07,All,126,25
91,New Fairfield School District,2006-07,All,17,6
93,New Haven School District,2006-07,All,5384,2227
95,New London School District,2006-07,All,686,677
96,New Milford School District,2006-07,All,318,126
94,Newington School District,2006-07,All,562,156
97,Newtown School District,2006-07,All,57,3
99,North Branford School District,2006-07,All,49,24
100,North Canaan School District,2006-07,All,12,12
101,North Haven School District,2006-07,All,257,60
102,North Stonington School District,2006-07,All,11,2
103,Norwalk School District,2006-07,All,3425,1343
901,Norwich Free Academy,2006-07,All,280,72
104,Norwich School District,2006-07,All,680,323
106,Old Saybrook School District,2006-07,All,72,49
107,Orange School District,2006-07,All,54,7
108,Oxford School District,2006-07,All,54,23
109,Plainfield School District,2006-07,All,56,32
110,Plainville School District,2006-07,All,237,120
111,Plymouth School District,2006-07,All,28,18
112,Pomfret School District,2006-07,All,**,**
113,Portland School District,2006-07,All,8,1
114,Preston School District,2006-07,All,12,10
116,Putnam School District,2006-07,All,56,35
117,Redding School District,2006-07,All,15,1
204,Regional School District 04,2006-07,All,19,7
205,Regional School District 05,2006-07,All,62,16
206,Regional School District 06,2006-07,All,8,5
207,Regional School District 07,2006-07,All,**,**
208,Regional School District 08,2006-07,All,**,**
209,Regional School District 09,2006-07,All,27,5
210,Regional School District 10,2006-07,All,61,18
212,Regional School District 12,2006-07,All,22,9
