StartDate,EndDate,State,Textbox36,textbox14,Textbox38,textbox6,textbox12City,textbox18
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Madison,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,Milford,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,Milford,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,New Haven,2
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2004,423,Afghanistan,New Haven,6
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2005,578,Afghanistan,New Haven,21
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2006,254,Afghanistan,New Haven,7
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2007,486,Afghanistan,New Haven,6
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2008,390,Afghanistan,New Haven,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2009,408,Afghanistan,New Haven,4
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2010,514,Afghanistan,New Haven,16
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2011,375,Afghanistan,New Haven,7
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2012,509,Afghanistan,New Haven,10
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2013,547,Afghanistan,New Haven,13
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2002,493,Afghanistan,South Britain,0
1-Jan-99,31-Dec-13,Connecticut,Total for Connecticut,CY 2003,214,Afghanistan,South Britain,0
